,age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,workclass_cat,education_cat,marital-status_cat,occupation_cat,relationship_cat,race_cat,native-country_cat,Education_is_high,middle_age_man,is_US,working_less_or_more_4,working_vs_ocuppation_test,husband_wife,occupation_2,y_new_pred
0,39,Self-emp-not-inc,327120,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,Portugal,0,0,0,0,0,0,0,False,0,False,1,0,1,0,0
1,32,Private,123253,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,1,1,0,0,0,0,1,False,0,True,1,0,1,0,0
2,47,Private,232628,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,40,United-States,1,0,0,0,0,1,1,False,0,True,1,0,1,0,0
3,19,Private,374262,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,1,2,1,1,1,0,1,False,0,True,0,0,0,0,0
4,46,Self-emp-not-inc,311231,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,0,0,0,2,0,0,1,False,0,True,1,0,1,0,0
5,45,Private,148900,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1,3,0,3,0,0,1,False,0,True,3,6,1,0,0
6,34,Private,118786,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,20,United-States,1,3,1,4,2,0,1,False,0,True,0,0,0,0,0
7,38,Self-emp-inc,222532,Prof-school,15,Never-married,Sales,Not-in-family,White,Female,0,0,45,United-States,2,4,1,4,2,0,1,True,0,True,3,0,0,0,0
8,40,Private,270147,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,1,5,1,5,2,0,1,True,0,True,1,0,0,0,0
9,47,Private,184005,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,3325,0,45,United-States,1,0,2,5,2,2,1,False,0,True,3,8,0,0,0
10,35,Private,62333,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,1,3,1,3,2,0,1,False,0,True,1,0,0,0,0
11,23,Private,27073,Some-college,10,Never-married,Adm-clerical,Unmarried,Other,Female,0,0,40,United-States,1,6,1,6,3,3,1,False,0,True,1,0,0,0,0
12,53,Private,158993,HS-grad,9,Widowed,Machine-op-inspct,Unmarried,Black,Female,0,0,38,United-States,1,0,3,7,3,1,1,False,0,True,1,0,0,0,0
13,58,Self-emp-not-inc,605504,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,0,0,4,0,0,1,False,0,True,1,0,1,0,0
14,47,Federal-gov,102771,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,3,7,0,3,0,0,1,True,0,True,1,0,1,0,0
15,42,State-gov,160369,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,4,0,1,8,2,0,1,False,0,True,1,0,0,0,0
16,41,Federal-gov,56236,HS-grad,9,Divorced,Protective-serv,Unmarried,Black,Male,1506,0,40,United-States,3,0,2,8,3,1,1,False,0,True,1,0,0,0,0
17,38,Local-gov,68781,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,5,6,0,8,0,0,1,False,0,True,1,0,1,0,0
18,56,Private,159544,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,1,5,0,3,0,0,1,True,0,True,3,6,1,0,1
19,48,State-gov,212954,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,4,5,0,3,0,0,1,True,0,True,1,0,1,0,1
20,36,Private,199501,Some-college,10,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,38,United-States,1,6,2,5,3,1,1,False,0,True,1,0,0,0,0
21,40,Private,309311,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,1,0,0,7,0,0,1,False,0,True,1,0,1,0,0
22,45,Self-emp-not-inc,33234,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0,3,0,4,0,0,1,False,0,True,1,0,1,0,0
23,40,State-gov,67874,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,58,United-States,4,5,0,3,0,0,1,True,0,True,3,6,1,0,1
